RA_deg,Dec_deg,Gaia_magnitude
130.073372,-52.921973,3.48
103.19725,33.96137,3.48
262.774904,-60.683607,3.48
234.256077,-28.135071,3.48
21.006047,-8.182754,3.48
142.675471,-40.466888,3.48
51.20349,9.029065,3.49
42.495789,27.26079,3.49
195.56574,-71.548799,3.49
266.433343,-64.723735,3.49
152.647488,-12.353839,3.49
22.870808,15.345831,3.5
57.290547,24.053524,3.5
253.646272,-42.360759,3.5
345.480194,42.325979,3.5
116.313766,-37.968598,3.5
176.402364,-66.728843,3.51
309.386957,14.595203,3.52
236.546729,15.421926,3.53
337.207502,-0.020063,3.53
271.657828,-50.091455,3.53
142.88154,63.061795,3.53
64.948058,15.6277,3.53
231.957716,29.105492,3.54
234.664102,-29.777689,3.54
313.702415,-58.454095,3.55
211.097608,64.375809,3.55
296.846938,18.534259,3.56
347.361509,-21.172486,3.56
130.898115,-33.186411,3.56
72.801525,5.605101,3.56
325.022259,-16.662253,3.57
176.513059,47.779337,3.57
75.6195,41.07589,3.57
9.242779,53.896932,3.57
349.289557,3.282245,3.58
269.440961,29.247925,3.58
49.87904,-21.757942,3.58
118.054356,-40.575799,3.59
73.562899,2.440671,3.59
298.828192,6.407933,3.59
271.837586,9.563653,3.59
237.703713,4.47758,3.59
89.101326,-14.168038,3.59
53.23509,-9.458306,3.6
316.232733,43.927851,3.6
89.88146,54.284982,3.6
56.218848,24.113448,3.6
221.562466,1.892938,3.61
51.79217,9.732772,3.61
325.368638,-77.389462,3.61
343.153602,-7.579679,3.61
268.38179,56.872452,3.61
245.480182,19.153022,3.62
27.865044,-10.334945,3.62
318.697278,38.04432,3.62
136.038836,-47.097714,3.63
266.973225,2.707459,3.63
286.170558,-21.741355,3.64
87.829803,-20.877514,3.64
337.822399,50.28245,3.64
97.204475,-7.03305,3.64
252.446298,-59.041316,3.65
331.751977,25.345046,3.65
321.666782,-22.411378,3.65
65.733447,17.542584,3.65
56.298514,42.578544,3.65
309.909394,15.912053,3.65
84.686522,-2.600068,3.65
130.156564,-46.648755,3.65
126.434359,-66.13652,3.65
42.674137,55.89553,3.65
111.431984,27.798286,3.66
311.918886,-9.49569,3.66
163.373193,-58.853265,3.66
147.748715,59.039104,3.66
220.287168,13.728331,3.66
163.327666,34.215566,3.67
47.373455,44.857889,3.67
114.707839,-26.803892,3.68
48.017833,-28.989106,3.68
233.700793,10.538859,3.68
289.275458,53.368161,3.68
68.887799,-30.56231,3.69
156.969771,-58.739409,3.69
354.390449,46.459176,3.69
235.685993,26.295514,3.69
264.866218,46.006322,3.7
172.851202,69.331122,3.7
247.728505,1.984101,3.7
30.511669,2.76376,3.7
139.711114,36.802898,3.7
209.567853,-42.100705,3.71
221.965526,-79.044712,3.71
156.522938,-16.836096,3.71
67.143468,15.962217,3.72
56.079693,32.288273,3.72
271.885628,28.76247,3.72
188.117129,-72.132976,3.72
297.042557,70.267835,3.72
159.32607,-48.225616,3.72
158.202813,9.306594,3.72
273.44087,-21.05883,3.72
189.426366,-48.541288,3.73
275.924028,21.770342,3.73
239.112476,15.664733,3.73
95.528521,-33.436273,3.73
278.801824,-8.243308,3.73
153.684474,-42.122063,3.73
86.821181,-51.066713,3.73
188.37101,69.78821,3.73
63.500339,-42.293873,3.73
243.859442,-63.685649,3.74
335.41375,-1.387353,3.74
69.545296,-14.303587,3.74
248.364434,-78.896959,3.74
269.063244,37.250522,3.74
14.187907,38.499255,3.74
82.803065,-35.470436,3.74
56.456638,24.367858,3.75
209.669881,-44.803531,3.75
131.506895,-46.041539,3.75
239.221194,-29.214012,3.75
298.118183,1.005678,3.75
220.764843,-5.657429,3.75
347.589283,-45.246647,3.76
227.984004,-48.737702,3.76
28.382355,19.294093,3.76
148.19149,26.007085,3.76
2.352249,-45.746988,3.76
299.076651,35.083491,3.77
44.106682,-8.89761,3.77
103.533145,-24.184223,3.77
138.590805,2.315024,3.77
184.976631,-0.666747,3.77
202.761119,-39.40728,3.78
144.963892,-1.142657,3.78
170.251843,-54.491014,3.78
60.78907,5.989309,3.79
226.279607,-47.051194,3.79
187.010048,-50.230605,3.79
126.415295,-3.906365,3.79
244.9352,46.313271,3.79
233.881414,-14.789554,3.79
255.072526,30.926339,3.8
318.95582,5.248074,3.8
290.41823,-17.847252,3.8
69.079752,-3.352448,3.81
6.550484,-43.679909,3.81
241.701802,-20.669135,3.81
43.564427,52.76249,3.81
167.147482,-58.975042,3.81
22.812423,-49.073077,3.81
270.161315,2.931588,3.81
115.454983,-72.606135,3.81
115.311986,-9.551083,3.82
17.096084,-55.245832,3.82
131.171292,18.154864,3.82
314.293382,41.167194,3.82
115.951967,-28.954835,3.82
99.170829,-19.255709,3.83
30.859126,72.42124,3.83
89.786627,-42.815108,3.84
137.819866,-62.317016,3.84
290.971464,-40.615646,3.84
290.659527,-44.45891,3.84
135.161468,41.783444,3.84
350.742923,-20.100345,3.84
62.165305,47.712594,3.84
87.872469,39.148479,3.85
109.207628,-67.957172,3.85
66.009022,-34.016986,3.85
337.317309,-43.495554,3.85
300.147472,-72.910184,3.85
341.632677,23.565679,3.85
130.025569,-35.308301,3.85
237.739757,-33.627105,3.85
182.913131,-52.368416,3.85
